community,undesa_origin_names,origin_location_codes,origin_global_migrant_stock_2020
Bangladesh,Bangladesh,50,7401763
China,"China; China, Hong Kong SAR; China, Macao SAR; China, Taiwan Province of China",156; 344; 446; 158,11614150
Coreia,Republic of Korea; Dem. People's Republic of Korea,410; 408,2314931
Filipinas,Philippines,608,6094307
Indonésia,Indonesia,360,4601369
Japão,Japan,392,808825
Paquistão,Pakistan,586,6328400
Tailândia,Thailand,764,1086985
Vietnã,Viet Nam,704,3392025
Índia,India,356,17869492
